age	population
66.11.2.1	30
69.1.53.8	1
70.86.2.2	6
74.6.7.74	1
74.6.8.77	51
77.68.5.8	24
84.9.8.47	6
12.6.81.43	5
157.84.1.3	14
24.8.50.44	1
61.84.0.13	23
62.2.98.66	48
62.34.16.5	1
62.8.109.2	2
63.87.37.4	17
64.7.28.70	2
65.213.8.3	3
66.82.9.53	14
67.62.99.2	1
67.71.24.6	1
68.42.25.4	2
69.150.3.8	2
69.9.31.40	9
74.4.20.46	2
74.53.55.2	2
74.6.19.82	2
74.6.20.36	1
74.6.20.45	3
74.6.20.74	2
74.6.20.77	2
74.6.22.32	1
74.6.23.25	3
74.6.23.70	2
74.6.23.80	4
74.6.24.10	1
74.6.24.15	2
74.6.24.24	1
74.6.24.27	1
74.6.24.73	1
74.6.25.16	2
74.6.26.13	1
74.6.26.22	3
74.6.26.39	1
74.6.27.14	1
74.6.28.23	3
74.6.28.24	2
74.6.28.40	2
74.6.28.74	1
74.6.29.23	2
74.6.29.42	3
74.6.29.49	1
74.6.7.105	2
74.6.7.114	1
74.6.7.119	1
74.6.8.126	3
74.66.84.3	2
74.7.4.170	24
75.6.11.10	34
75.9.49.47	3
78.55.1.19	24
79.65.40.8	1
80.4.9.243	1
80.75.5.99	1
81.65.2.20	32
81.79.84.8	3
81.86.64.7	1
81.9.31.70	2
83.9.13.81	1
85.12.68.1	2
85.178.8.4	1
86.3.52.24	40
87.8.82.85	24
88.1.21.14	2
88.227.7.3	3
12.1.224.50	1
12.2.86.138	2
12.25.104.7	1
12.32.90.54	1
12.4.26.248	1
12.41.204.3	1
121.1.46.10	1
130.92.9.58	1
144.95.32.9	15
152.3.21.51	24
156.98.4.11	1
189.1.132.2	41
192.55.2.36	6
192.85.47.2	1
193.47.81.7	26
195.93.21.6	1
195.93.21.7	1
195.98.29.3	1
199.22.57.2	1
20.133.0.13	1
200.7.41.13	1
201.11.46.2	1
202.7.94.93	2
204.28.29.2	3
209.47.31.7	3
209.6.140.9	1
209.68.2.50	1
210.8.242.9	2
213.29.7.12	1
213.29.7.70	1
213.42.2.24	12
216.0.93.42	1
216.84.6.26	2
217.199.7.1	27
217.91.23.1	23
218.61.16.8	3
41.225.0.12	2
58.6.98.182	2
59.103.9.91	1
59.93.83.34	2
59.96.93.33	1
60.230.6.34	2
60.49.83.27	1
61.19.231.4	1
61.40.48.15	1
61.64.47.96	1
61.78.198.2	4
62.1.241.97	1
62.2.136.98	1
62.213.52.2	1
62.230.1.80	15
62.47.18.32	2
62.5.162.60	8
62.54.4.138	3
62.58.96.54	1
63.87.195.5	2
64.105.38.2	23
